card_id	suit	rank
1	heart	ace
2	heart	two
3	heart	three
4	heart	four
5	heart	five
6	heart	six
7	heart	seven
8	heart	eight
9	heart	nine
10	heart	ten
11	heart	jack
12	heart	queen
13	heart	king
14	club	ace
15	club	two
16	club	three
17	club	four
18	club	five
19	club	six
20	club	seven
21	club	eight
22	club	nine
23	club	ten
24	club	jack
25	club	queen
26	club	king
27	diamond	ace
28	diamond	two
29	diamond	three
30	diamond	four
31	diamond	five
32	diamond	six
33	diamond	seven
34	diamond	eight
35	diamond	nine
36	diamond	ten
37	diamond	jack
38	diamond	queen
39	diamond	king
40	spade	ace
41	spade	two
42	spade	three
43	spade	four
44	spade	five
45	spade	six
46	spade	seven
47	spade	eight
48	spade	nine
49	spade	ten
50	spade	jack
51	spade	queen
52	spade	king
53	joker	joker
54	joker	joker
